ax,ay,az,gx,gy,gz,magnitude,timestamp
-1.659,0.153,-0.569,-417.725,216.919,-487.976,1.761,1773724753126
-1.930,-0.033,-0.323,-406.067,-115.295,-539.856,1.957,1773724753190
-2.088,-0.109,-0.096,-354.431,-329.468,-449.280,2.093,1773724753215
-1.953,-0.132,0.045,-246.460,-436.584,-338.684,1.958,1773724753245
-1.372,-0.230,0.137,-195.557,-405.457,-201.843,1.398,1773724753308
-0.831,-0.295,0.244,-102.234,-288.818,-30.884,0.915,1773724753338
-0.657,-0.217,0.271,-1.709,-122.864,109.619,0.743,1773724753365
-0.703,-0.100,0.240,76.172,49.805,199.951,0.749,1773724753394
-1.307,0.113,0.135,133.972,217.407,253.357,1.318,1773724753460
-1.650,0.220,0.020,183.533,343.018,243.164,1.664,1773724753547
-2.200,0.357,-0.185,269.287,423.584,191.040,2.237,1773724753579
-2.267,0.395,-0.237,252.563,362.488,143.677,2.314,1773724753606
-2.120,0.401,-0.317,194.641,263.000,96.985,2.181,1773724753670
-2.053,0.363,-0.334,140.930,125.000,52.185,2.112,1773724753696
-1.862,0.345,-0.341,87.646,-55.237,81.238,1.925,1773724753725
-2.334,0.376,-0.167,2.441,-160.767,117.310,2.370,1773724753789
-2.443,0.406,-0.151,-84.778,-240.906,161.316,2.482,1773724753816
-2.050,0.453,-0.199,-156.189,-434.021,175.415,2.109,1773724753846
-2.643,0.464,0.086,-130.066,-736.755,107.605,2.685,1773724753907
-3.807,0.420,0.405,-88.501,-897.644,-44.189,3.851,1773724753940
-4.000,0.390,0.540,-28.137,-926.941,-219.849,4.055,1773724753965
-4.000,0.323,0.533,-6.409,-843.811,-444.763,4.048,1773724754026
-3.957,0.244,0.515,-24.658,-724.365,-550.903,3.997,1773724754058
-3.017,0.127,0.531,64.636,-502.930,-641.052,3.066,1773724754085
-1.751,-0.136,0.508,102.844,-84.534,-614.990,1.828,1773724754145
-1.555,-0.194,0.372,137.146,149.719,-496.155,1.611,1773724754178
-1.737,-0.130,0.105,96.191,423.889,-298.706,1.745,1773724754207
-1.777,-0.069,-0.046,98.389,473.816,-162.537,1.779,1773724754266
-1.597,-0.071,-0.152,81.970,480.347,-68.176,1.606,1773724754300
-1.674,0.054,-0.261,5.676,395.996,58.228,1.695,1773724754325
-1.236,0.022,-0.332,9.766,195.862,83.557,1.280,1773724754390
-0.747,0.049,-0.399,-50.293,-17.456,125.671,0.848,1773724754417
-1.264,0.155,-0.154,-75.745,-213.013,124.390,1.283,1773724754446
-1.476,0.205,-0.008,-72.205,-337.891,74.951,1.490,1773724754509
-1.617,0.191,0.122,-76.782,-368.713,2.380,1.633,1773724754599
-1.286,0.113,0.249,-82.458,-243.408,-82.642,1.315,1773724754629
-1.064,0.058,0.252,-48.889,-153.442,-117.676,1.095,1773724754656
-0.817,-0.052,0.230,-36.377,-19.104,-137.817,0.850,1773724754718
-0.868,-0.069,0.164,-15.320,123.779,-113.647,0.886,1773724754748
-1.122,-0.040,0.066,18.677,234.924,-100.830,1.124,1773724754775
-1.219,-0.046,-0.073,76.416,278.442,-86.182,1.222,1773724754837
-1.270,-0.041,-0.138,82.214,304.504,-25.513,1.278,1773724754878
-1.344,0.016,-0.240,92.163,234.314,29.846,1.365,1773724754895
-1.104,0.015,-0.308,79.285,123.718,57.495,1.146,1773724754957
-1.042,0.067,-0.283,60.242,1.099,94.971,1.081,1773724754987
-1.013,0.122,-0.202,40.344,-78.552,97.412,1.040,1773724755015
-1.146,0.157,-0.080,16.724,-174.988,59.326,1.160,1773724755078
-1.054,0.125,-0.009,-10.803,-189.941,17.273,1.062,1773724755105
-1.024,0.103,0.051,-20.874,-179.993,-15.320,1.030,1773724755138
